#{"t_start": 1590682203.3824449, "env_id": "zhedLevel4-v0"}
r,l,t
-990,2,0.535692
-990,2,0.536691
-990,2,0.537691
-990,2,0.53869
-1020,5,0.540689
-1010,2,0.540689
-1050,8,0.543687
-1000,3,0.544687
-1010,2,0.545686
-990,2,0.546686
-1020,3,0.547685
-1000,3,0.548684
-1000,3,0.550683
-990,2,0.550683
-1040,5,0.552682
-990,2,0.553683
-1010,4,0.555681
-990,2,0.555681
-990,2,0.55668
-990,2,0.557679
-1020,3,0.558678
-1050,8,0.561677
-990,2,0.562676
-1010,2,0.563676
-1020,5,0.565675
-1010,4,0.566674
-990,2,0.567673
-1000,3,0.568674
-1000,3,0.571671
-990,2,0.57267
-1020,3,0.57367
-1020,5,0.575669
-990,2,0.576668
-1020,5,0.577667
-1010,2,0.578667
-1010,2,0.579666
-990,2,0.580666
-1000,3,0.581665
-1000,3,0.582665
-1020,3,0.583664
-1030,4,0.584663
-1040,5,0.723584
-990,2,0.724583
-1010,4,0.725583
1010,2,0.726582
-990,2,0.727581
-1020,5,0.72958
-990,2,0.72958
-1010,4,0.731579
-990,2,0.732578
-1020,5,0.733578
-990,2,0.734577
-990,2,0.735577
-1000,3,0.736576
-1020,3,0.737576
-1040,5,0.739574
-1010,2,0.739574
-1030,4,0.741573
-990,2,0.742573
-1000,3,0.743572
-1010,2,0.743572
-1000,3,0.745571
-1020,3,0.74657
-1010,4,0.74757
-1010,2,0.748569
-1030,4,0.749569
-1040,5,0.751568
-990,2,0.752567
-1000,3,0.753567
-1000,3,0.754566
-990,2,0.754566
-1070,8,0.757564
-1040,5,0.759563
-990,2,0.760562
-1020,5,0.761562
-1010,2,0.762561
-990,2,0.763561
990,4,0.76456
-1010,4,0.766559
-990,2,0.767558
-990,2,0.767558
-1010,4,0.787547
-990,2,0.787547
-1010,4,0.789545
-990,2,0.789545
-1020,3,0.791544
-990,2,0.791544
-990,2,0.792543
-990,2,0.793543
-1020,5,0.795542
-1010,2,0.795542
-1000,3,0.796542
-1000,3,0.79854
-1040,7,0.800539
-1000,3,0.801539
-1010,4,0.802538
980,5,0.804537
-1000,3,0.805537
-1010,2,0.806536
-1010,2,0.807535
-990,2,0.808534
-990,2,0.808534
-990,2,0.809534
-990,2,0.810534
-990,2,0.810534
-1010,2,0.811533
-990,2,0.812532
-1000,3,0.813532
-1040,5,0.815531
-1000,3,0.81653
-1010,2,0.817529
-990,2,0.817529
-1010,4,0.819528
-990,2,0.819528
-1000,3,0.821527
-1040,5,0.822526
-1000,3,0.823526
-990,2,0.824525
-990,2,0.825524
-1000,3,0.826524
-1050,6,0.828523
-1040,5,0.830522
-990,2,0.830522
-1000,3,0.831521
-1010,4,0.85151
1010,2,0.852509
-990,2,0.852509
-990,2,0.85351
-1010,2,0.854508
-1000,3,0.855508
-1010,2,0.855508
-990,2,0.856507
-1000,3,0.857507
-1000,3,0.858506
-990,2,0.859506
-1020,3,0.860505
-990,2,0.861504
-1010,2,0.862504
-1010,4,0.863503
-1000,3,0.864502
-1000,3,0.865502
-1000,3,0.866501
-1000,3,0.867501
-990,2,0.8685
-990,2,0.8695
-990,2,0.870499
-990,2,0.870499
-1010,4,0.872498
-1030,6,0.874497
-1000,3,0.875496
-1010,4,0.876496
-1070,10,0.880493
-990,2,0.881493
-1020,3,0.882492
-1010,4,0.883492
-1000,3,0.884491
-1020,5,0.88649
-990,2,0.887489
-1000,3,0.888489
-990,2,0.888489
-1050,6,0.891487
-1000,3,0.892486
-1010,4,0.893486
-1000,3,0.894485
-1030,4,0.896484
990,4,0.915473
-1010,4,0.916472
-990,2,0.917472
-990,2,0.918471
-1020,3,0.919471
-990,2,0.92047
-1000,3,0.92147
-990,2,0.92147
-1020,3,0.922469
-1010,4,0.924468
-1000,3,0.925467
-990,2,0.926467
-990,2,0.926467
-1020,5,0.928466
-990,2,0.929465
-990,2,0.929465
-990,2,0.930465
-1020,5,0.932464
-1010,2,0.933463
-990,2,0.933463
-1070,10,0.93746
-1000,3,0.93846
-1010,2,0.939459
-990,2,0.939459
-1010,4,0.941458
-1010,2,0.942457
-990,2,0.942457
-990,2,0.943457
1010,2,0.944456
-1020,3,0.945456
-990,2,0.946455
-1010,2,0.946455
-990,2,0.947455
-1000,3,0.948454
-1000,3,0.949454
-990,2,0.950453
-1000,3,0.951452
-1020,5,0.953451
-990,2,0.954451
-990,2,0.954451
-1010,2,0.95545
-1040,7,0.957449
-1010,2,0.958448
-1010,4,0.977438
-990,2,0.978437
-1010,2,0.979437
-1040,5,0.981435
-1020,3,0.982435
-990,2,0.982435
-1040,5,0.984434
-1010,2,0.985433
-1010,4,0.986433
-990,2,0.987432
-1030,6,0.989431
-1000,3,0.99043
-990,2,0.991429
-1010,4,0.993429
-1010,2,0.993429
-1000,3,0.995427
-1000,3,0.996427
-1020,5,0.997426
-1000,3,0.998425
-1000,3,1.000424
-1010,4,1.001424
-1000,3,1.002423
-1020,3,1.003423
-1030,6,1.005421
-990,2,1.006421
-1010,4,1.00842
-990,2,1.009419
-990,2,1.009419
-1000,3,1.010419
-1030,6,1.013417
-990,2,1.013417
-1010,2,1.014417
-1000,3,1.015416
-1010,2,1.016415
-990,2,1.017415
-990,2,1.018414
-1010,4,1.019413
-1020,3,1.020413
-990,2,1.021413
1010,2,1.022412
-1010,2,1.023411
-1000,3,1.02441
-1010,4,1.044399
-1000,3,1.045398
-1020,3,1.046398
-1010,4,1.047397
-990,2,1.048397
-1000,3,1.049396
-990,2,1.050396
-1000,3,1.051395
-1010,2,1.052395
-1050,8,1.055393
-990,2,1.055393
-1010,2,1.056393
-1010,2,1.057392
-1030,6,1.05939
-990,2,1.06039
-1010,2,1.06039
-990,2,1.061389
-1000,3,1.063388
-1040,7,1.065387
-990,2,1.066386
-990,2,1.067385
-1030,6,1.069385
-1010,2,1.069385
-1030,4,1.071383
-1000,3,1.072383
-1000,3,1.073382
-1010,4,1.074382
1010,2,1.075381
-1000,3,1.07638
-990,2,1.07738
-1010,4,1.078379
-990,2,1.079379
-1020,3,1.080378
-1020,3,1.081378
-990,2,1.082377
-1010,4,1.083377
-990,2,1.084376
-1000,3,1.085376
-1000,3,1.086375
-990,2,1.087374
-990,2,1.088374
-1040,7,1.108362
-990,2,1.109362
-1010,2,1.109362
-1000,3,1.110361
-990,2,1.111361
-1010,2,1.11236
-1020,3,1.113359
-1020,5,1.115358
-1000,3,1.116358
-1010,4,1.117357
1000,3,1.119356
-1030,6,1.121355
-1000,3,1.122354
-990,2,1.123353
-990,2,1.123353
-990,2,1.124353
-990,2,1.125352
-1010,2,1.126353
-1000,3,1.127351
-1020,3,1.128351
-990,2,1.12935
-1000,3,1.13035
-990,2,1.13135
-1010,4,1.132348
-990,2,1.133348
-1030,4,1.134347
-1000,3,1.135347
-1010,2,1.136346
-990,2,1.137346
-990,2,1.138345
1010,2,1.138345
-1010,2,1.139344
-990,2,1.140344
-1000,3,1.141343
-990,2,1.142343
-990,2,1.143342
-1040,5,1.144341
-990,2,1.145341
-990,2,1.146341
-990,2,1.14734
-1000,3,1.148339
-1020,3,1.149338
-1000,3,1.150338
-1000,3,1.151337
-1000,3,1.152337
-1010,2,1.153337
-1010,2,1.153337
-1000,3,1.155335
-1020,3,1.173325
-990,2,1.174325
-1020,5,1.176323
-1010,4,1.177322
-990,2,1.178322
-1000,3,1.179321
-990,2,1.179321
-990,2,1.180321
-1000,3,1.18132
-990,2,1.182319
1000,3,1.183319
-1000,3,1.184318
-1030,4,1.186317
-990,2,1.186317
-990,2,1.187316
-1000,3,1.188316
-1020,5,1.190315
-1030,4,1.191314
-990,2,1.192314
-1000,3,1.193313
-1040,7,1.196311
-1020,3,1.197311
-990,2,1.197311
-1000,3,1.19831
-1010,4,1.200309
-1010,2,1.201309
-990,2,1.201309
-1000,3,1.202308
-1000,3,1.203307
-1000,3,1.205306
-990,2,1.205306
-1030,6,1.207305
-990,2,1.208304
-1010,4,1.209304
-990,2,1.210303
-1000,3,1.211302
-1000,3,1.212302
1000,3,1.213301
-1000,3,1.214301
-990,2,1.2153
-990,2,1.2163
-990,2,1.217299
-1030,6,1.236289
-1000,3,1.237288
-1010,2,1.238287
-1010,2,1.239287
-1040,5,1.240286
-1010,4,1.242285
-1000,3,1.243284
-1010,2,1.244284
-1020,3,1.245283
970,6,1.247282
-990,2,1.248282
-1030,4,1.249281
-1020,5,1.25128
-1030,6,1.253279
-990,2,1.254278
-990,2,1.254278
-990,2,1.255278
-1000,3,1.256277
-990,2,1.257276
-990,2,1.258276
-1010,2,1.258276
-1010,2,1.259275
-990,2,1.260275
-1040,7,1.262274
-1030,4,1.264272
-990,2,1.265272
-1010,4,1.266271
-990,2,1.267271
-1010,2,1.267271
-1010,4,1.269269
-1010,2,1.270269
-990,2,1.270269
-1030,4,1.272268
-990,2,1.272268
1010,2,1.273267
-990,2,1.274266
-1010,4,1.275266
-1000,3,1.276266
-1020,3,1.277265
960,7,1.280264
-990,2,1.281263
-1000,3,1.299253
-1000,3,1.300252
-1010,2,1.301251
-1020,3,1.302251
-1010,4,1.30425
-990,2,1.305249
-1000,3,1.306248
-1000,3,1.307248
-1010,4,1.308247
-1030,6,1.310246
-1020,3,1.311245
-1020,3,1.312245
-990,2,1.313244
-990,2,1.314244
-1020,3,1.315243
-1020,5,1.317242
990,4,1.318241
-1000,3,1.319241
-990,2,1.32024
-1030,6,1.322239
-1010,4,1.323239
-1000,3,1.325238
-990,2,1.325238
-1010,2,1.326237
-990,2,1.327236
-1000,3,1.328236
980,5,1.330235
-1000,3,1.331234
-990,2,1.332233
-1030,4,1.333233
-1020,5,1.335232
-990,2,1.335232
-990,2,1.336231
-1000,3,1.33723
-1020,3,1.33823
-1030,6,1.341228
-990,2,1.341228
-1010,2,1.342228
-1010,2,1.343227
-990,2,1.343227
1010,2,1.344227
-1010,2,1.345226
-1010,4,1.364215
-1010,2,1.364215
-990,2,1.365214
-1020,3,1.366214
-990,2,1.367213
-990,2,1.368212
-1010,2,1.368212
-1010,2,1.369212
-1020,3,1.370212
-1000,3,1.371211
-990,2,1.37221
-990,2,1.37321
-990,2,1.37321
-990,2,1.374209
-1000,3,1.375209
-990,2,1.376208
-990,2,1.377208
-1010,2,1.377208
-1000,3,1.378207
-1020,5,1.380206
-1000,3,1.381205
-990,2,1.382205
-990,2,1.383204
-1040,7,1.385203
1010,2,1.386202
-990,2,1.387202
-1010,2,1.387202
1010,2,1.388201
-1000,3,1.389201
-1000,3,1.3902
-990,2,1.391199
-1040,5,1.393198
990,4,1.394198
-990,2,1.395197
-1030,4,1.396197
-1010,2,1.397196
-1000,3,1.398196
-1060,9,1.401194
-1010,2,1.402193
-1020,3,1.403193
-1010,2,1.404192
-1010,4,1.405191
-990,2,1.406191
1010,2,1.40719
-1000,3,1.40819
-990,2,1.426179
-1030,6,1.428178
-990,2,1.429178
-990,2,1.429178
-1020,3,1.431176
-990,2,1.431176
-1000,3,1.432176
1010,2,1.433175
-990,2,1.434175
990,4,1.435174
-1010,2,1.436173
-1030,4,1.438172
-1020,3,1.439172
-990,2,1.439172
-990,2,1.440171
-1010,4,1.441171
-1010,4,1.44317
1010,2,1.444169
-1010,4,1.445168
-1010,4,1.446168
-990,2,1.447167
-1010,4,1.449166
-990,2,1.449166
-990,2,1.450166
-990,2,1.451165
-990,2,1.452164
-990,2,1.452164
-1000,3,1.453164
-1040,5,1.455163
-1010,2,1.456162
-1000,3,1.457161
-990,2,1.458161
-990,2,1.458161
-990,2,1.45916
-990,2,1.46016
-1050,6,1.462158
-990,2,1.462158
-1000,3,1.463158
-1010,4,1.465157
-990,2,1.466156
-1000,3,1.467156
-1010,4,1.468155
-1010,2,1.469155
-1000,3,1.470154
-1030,6,1.489143
-990,2,1.490143
-1000,3,1.491142
-1000,3,1.492141
-1030,4,1.49414
-1020,5,1.496139
-1010,4,1.497138
-1010,2,1.498138
-1050,6,1.500137
-1010,2,1.501136
-1050,8,1.503135
-1000,3,1.504134
-1010,2,1.505134
-1000,3,1.506134
-990,2,1.507133
-1020,5,1.509131
-1000,3,1.510131
-1000,3,1.511131
-1000,3,1.51213
-1010,2,1.513129
-990,2,1.513129
-1000,3,1.514129
-1000,3,1.516127
-990,2,1.516127
-990,2,1.517127
-990,2,1.518126
-1000,3,1.519126
-1010,4,1.520125
-1010,4,1.522124
-990,2,1.522124
-990,2,1.523124
-990,2,1.524123
-1030,4,1.525122
-1030,4,1.527121
-990,2,1.528121
980,5,1.52912
-1030,4,1.531119
-1020,5,1.532118
-1000,3,1.534117
-1030,6,1.553107
-1000,3,1.554106
-990,2,1.555105
-1000,3,1.556105
-990,2,1.557104
-1020,5,1.559103
-1000,3,1.560102
-1030,4,1.561102
-1000,3,1.562101
-1020,3,1.5631
-1040,5,1.565099
-1010,4,1.567098
-1010,2,1.567098
-990,2,1.568098
-990,2,1.569097
-990,2,1.570096
-990,2,1.570096
-1000,3,1.571096
-1010,4,1.573095
-1000,3,1.574095
-990,2,1.575094
-1010,2,1.575094
-990,2,1.576093
-990,2,1.577093
-1010,4,1.579091
-990,2,1.579091
-990,2,1.580091
-1000,3,1.581091
-990,2,1.58209
-1010,2,1.583089
-1000,3,1.584089
-1000,3,1.585088
-1010,4,1.586087
-1040,5,1.588086
-990,2,1.589086
-1000,3,1.590085
-990,2,1.591084
-1020,5,1.592084
-1000,3,1.593084
-990,2,1.594083
-990,2,1.595082
-1000,3,1.596081
1010,2,1.597081
-1050,6,1.59908
-1000,3,1.618069
-1020,3,1.619068
-1020,3,1.620068
-990,2,1.620068
-990,2,1.621068
-1010,2,1.622067
-1000,3,1.623067
-1020,5,1.625065
-1010,4,1.626065
-1000,3,1.627064
-1000,3,1.628063
-1030,6,1.630062
-990,2,1.631062
-990,2,1.632061
-1010,2,1.63306
-990,2,1.63306
-990,2,1.63406
1000,3,1.635059
-990,2,1.636059
-1020,5,1.638057
-1000,3,1.639057
-1050,6,1.641056
-1000,3,1.642056
-1000,3,1.643055
-990,2,1.644054
-990,2,1.645053
-990,2,1.645053
-1020,5,1.647053
-1010,2,1.648052
-990,2,1.649052
-1000,3,1.650051
-1000,3,1.65105
-1010,2,1.652049
-990,2,1.652049
-1030,6,1.654049
-1030,6,1.657047
-1000,3,1.658046
1010,2,1.658046
1010,2,1.659046
-1020,3,1.660045
-990,2,1.661044
-1000,3,1.662044
-990,2,1.663043
-990,2,1.681033
-1050,6,1.683032
-1010,4,1.684031
-990,2,1.685031
-1000,3,1.68603
-990,2,1.68703
-1010,4,1.689028
-990,2,1.689028
-1020,5,1.691027
-990,2,1.692027
-990,2,1.693026
-1040,7,1.695025
-1030,4,1.696024
-990,2,1.697023
-1010,2,1.698023
-1000,3,1.699023
-990,2,1.700022
-1010,2,1.701022
-1000,3,1.702021
-1000,3,1.703021
-990,2,1.703021
-990,2,1.70402
-990,2,1.705019
-990,2,1.706018
-1010,2,1.706018
-1000,3,1.708017
-990,2,1.708017
-990,2,1.709017
-1040,5,1.711016
-990,2,1.712015
-990,2,1.712015
-990,2,1.713014
-1000,3,1.714014
1010,2,1.715014
-1100,13,1.72001
-1020,5,1.722009
-1010,4,1.723008
-1080,9,1.726007
-990,2,1.727006
-1020,5,1.745995
-990,2,1.746995
-1010,4,1.747994
-990,2,1.748993
-1000,3,1.749993
-1000,3,1.750992
-990,2,1.751992
-1020,5,1.752991
-1020,3,1.753991
-1070,8,1.756989
-1010,2,1.757988
-990,2,1.758988
-990,2,1.758988
-1020,5,1.760987
-1030,6,1.764984
-1030,6,1.766983
1010,2,1.766983
-1010,2,1.767982
-990,2,1.768982
-990,2,1.768982
-990,2,1.769981
-1060,9,1.77298
-1050,6,1.774978
-990,2,1.775978
-1060,9,1.778976
-1000,3,1.779976
-1010,4,1.781975
-1060,7,1.783973
-990,2,1.784973
-990,2,1.785972
-1020,5,1.786972
1010,2,1.787971
-990,2,1.78897
-1030,4,1.78997
-1010,4,1.808959
-990,2,1.809958
-1010,4,1.811957
-1000,3,1.812957
-1050,8,1.814955
-990,2,1.815955
-1010,2,1.816955
1010,2,1.817954
-1000,3,1.818953
-990,2,1.819952
-990,2,1.819952
-1030,4,1.821951
-990,2,1.821951
-1000,3,1.82395
-1010,4,1.82495
-1010,2,1.825949
-1010,4,1.826949
-990,2,1.827948
-1010,2,1.828948
-990,2,1.828948
-1040,5,1.830946
-990,2,1.831946
-1010,2,1.832945
-1020,3,1.833945
-1000,3,1.834944
-1000,3,1.835943
-990,2,1.836943
-990,2,1.836943
-1010,2,1.837942
990,4,1.839941
-1010,2,1.839941
-1020,5,1.84194
-1010,4,1.843939
-1030,6,1.845938
-1000,3,1.846938
-1050,8,1.849935
970,6,1.851934
-1000,3,1.852934
-1040,7,1.872923
-1010,2,1.873922
-990,2,1.873922
-1000,3,1.874921
-990,2,1.87592
-1050,8,1.878919
-990,2,1.879918
-990,2,1.879918
1010,2,1.880918
-1010,2,1.881917
-1010,2,1.882916
-1010,4,1.883916
-1010,2,1.884915
1010,2,1.885915
-1000,3,1.886914
-990,2,1.887914
-1010,2,1.887914
1010,2,1.888913
-1020,3,1.889912
-1000,3,1.890912
-1010,4,1.89291
-1000,3,1.89391
-990,2,1.89391
-1020,3,1.895909
-1010,2,1.895909
-1010,4,1.897908
-990,2,1.897908
-1000,3,1.899907
-1010,4,1.900906
1000,3,1.901905
-1000,3,1.902905
-1020,3,1.903904
-990,2,1.904904
-990,2,1.905903
-990,2,1.905903
-990,2,1.906903
-1030,4,1.907902
-990,2,1.908901
-990,2,1.909901
-1010,4,1.9109
1000,3,1.9119
-1040,5,1.913898
-990,2,1.914898
-990,2,1.915897
-1010,2,1.915897
-990,2,1.916897
990,4,1.918895
-1020,5,1.937885
-1000,3,1.938884
-1010,2,1.939884
-1010,2,1.939884
-990,2,1.940883
-1040,5,1.942882
-1040,5,1.944881
-1010,2,1.944881
-1030,6,1.94688
-1000,3,1.948879
-1000,3,1.949878
-1030,4,1.950877
1010,2,1.951877
-1010,4,1.952876
-990,2,1.953876
-1010,2,1.954875
-990,2,1.954875
-1000,3,1.956874
-1010,2,1.956874
-990,2,1.957873
-1000,3,1.958873
-990,2,1.959872
-990,2,1.960872
-1000,3,1.961871
-1040,7,1.96387
-990,2,1.964869
-1020,5,1.966868
-990,2,1.967868
-990,2,1.967868
-1010,2,1.968867
-1000,3,1.969867
-990,2,1.970866
-990,2,1.971866
-1000,3,1.972865
1000,3,1.973864
-1020,3,1.974864
-990,2,1.975863
1010,2,1.975863
-1010,4,1.977862
-1010,4,1.978862
-1010,2,1.979861
-1010,2,1.98086
-990,2,1.981859
-990,2,1.981859
-990,2,1.99985
-1030,6,2.001848
-1010,2,2.002847
-1030,4,2.004846
-1010,4,2.005846
-1030,4,2.006845
-990,2,2.007844
-1010,2,2.008844
-1010,2,2.008844
-1020,3,2.010843
-1010,4,2.011842
-990,2,2.012842
-1010,4,2.013841
-1000,3,2.014841
-990,2,2.01584
-990,2,2.016839
-1000,3,2.017838
-1020,3,2.018838
-990,2,2.019838
-990,2,2.019838
-1020,3,2.020837
-1000,3,2.022836
-1000,3,2.023835
-1000,3,2.024835
-1010,2,2.024835
-1000,3,2.026834
-1000,3,2.027833
-1040,5,2.028832
1010,2,2.029832
-990,2,2.030831
-990,2,2.031831
-990,2,2.031831
-1010,4,2.03383
-1000,3,2.034829
-990,2,2.035828
-1010,4,2.036828
-990,2,2.037827
-1000,3,2.038827
-1000,3,2.039826
-1050,6,2.041825
-1010,2,2.042825
-1010,2,2.043824
-990,2,2.044823
-1010,2,2.044823
-990,2,2.045823
-990,2,2.063812
-1030,6,2.066811
-990,2,2.066811
-990,2,2.067811
-1010,2,2.06881
-1030,4,2.069809
-1000,3,2.070809
1010,2,2.071808
-1000,3,2.072808
-990,2,2.073807
-1000,3,2.074806
-990,2,2.075805
-1010,4,2.076805
-1020,3,2.077804
-990,2,2.078804
-990,2,2.079804
-1000,3,2.080803
-1010,2,2.081802
-1030,4,2.082802
-1020,3,2.083801
-1000,3,2.0848
-1030,4,2.086799
-990,2,2.086799
-1000,3,2.087799
-1000,3,2.089797
-1020,3,2.090797
1010,2,2.091796
-1030,4,2.092796
-1010,2,2.093795
-990,2,2.094795
-1000,3,2.095794
-1000,3,2.096794
-1020,3,2.097793
1000,3,2.098793
-990,2,2.099792
-1010,4,2.100792
-990,2,2.101791
-1040,5,2.10379
-990,2,2.10379
-990,2,2.104789
-1010,4,2.105788
-1010,2,2.106787
-1010,4,2.108786
-1000,3,2.109787
-990,2,2.110786
-990,2,2.128775
-990,2,2.129775
-1030,4,2.130774
-1000,3,2.131774
-1040,7,2.134772
-1010,2,2.134772
-1050,8,2.13777
-990,2,2.138769
-990,2,2.139769
-990,2,2.139769
-1030,4,2.141767
-990,2,2.142767
-990,2,2.142767
-990,2,2.143767
-1010,4,2.145765
-990,2,2.145765
-1010,2,2.146765
-1050,6,2.148763
-1030,4,2.149763
-1010,2,2.150762
-1020,3,2.151762
-990,2,2.152761
-1000,3,2.15376
-990,2,2.15476
-1040,7,2.156759
-1010,2,2.157758
-1010,4,2.159757
-990,2,2.159757
1010,2,2.160757
-1000,3,2.161757
-1030,6,2.163755
-1010,2,2.164754
-990,2,2.165754
-990,2,2.166753
-990,2,2.166753
-990,2,2.167753
-990,2,2.168752
-1000,3,2.169752
-990,2,2.170751
-1020,3,2.171751
-990,2,2.17275
-1020,5,2.173749
-990,2,2.174749
-990,2,2.192738
-1020,3,2.194737
-1010,2,2.194737
-1000,3,2.196736
-990,2,2.196736
-1040,5,2.198735
-1020,5,2.200734
-1010,2,2.201733
-1020,3,2.202733
-990,2,2.202733
-1020,3,2.204732
-1000,3,2.205731
-1000,3,2.20673
-990,2,2.20673
-990,2,2.20773
-990,2,2.208729
-1000,3,2.209728
-1000,3,2.210728
-1020,5,2.212727
-1000,3,2.213726
1010,2,2.214726
-1060,7,2.216724
-990,2,2.217724
-1020,3,2.218723
-1010,4,2.220722
-1000,3,2.221722
-990,2,2.221722
-1010,4,2.223721
-990,2,2.22472
-990,2,2.22472
-1010,2,2.225719
-990,2,2.226719
1010,2,2.227718
-1030,4,2.228717
-990,2,2.229717
-1000,3,2.230716
-990,2,2.231715
-1020,5,2.232715
1010,2,2.233715
-1010,2,2.234715
-990,2,2.235714
-990,2,2.235714
-990,2,2.236713
-1020,5,2.238712
-1010,4,2.256701
-1020,3,2.2587
-990,2,2.2587
-1040,5,2.260699
-990,2,2.261698
-1020,3,2.262698
-990,2,2.262698
-1000,3,2.264697
1000,3,2.265696
