#{"t_start": 1590684110.992594, "env_id": "zhedLevel5-v0"}
r,l,t
-1160,21,3.159182
-1060,9,3.164179
-1030,6,3.167177
-1040,9,3.172175
-1010,6,3.175173
-1010,8,3.181169
-1040,11,3.239136
-1040,9,3.244133
-1080,13,3.251129
-1010,4,3.253128
-1010,6,3.257126
-970,4,3.259124
-990,6,3.263122
-1090,14,3.270118
-1110,14,3.277114
-1000,5,3.281112
-1010,6,3.28411
-1060,11,3.290106
-1100,15,3.300101
-1040,9,3.305098
-1030,6,3.360066
-1020,5,3.363065
-990,6,3.366063
-1010,6,3.369061
-1020,9,3.376057
-1000,7,3.380055
-1000,7,3.384053
-1040,7,3.38805
-1050,10,3.394047
-1020,7,3.398045
-1100,15,3.40504
-1090,12,3.412036
-1070,12,3.419033
-1050,10,3.424029
-1050,10,3.430026
-1030,8,3.486994
-990,6,3.489992
-1030,6,3.493989
-1000,5,3.496988
-1020,7,3.499986
-1070,12,3.506981
-1010,8,3.512978
-1030,8,3.516976
-1030,10,3.522973
-1040,9,3.528969
-1070,14,3.537964
-1060,11,3.54396
-990,6,3.547958
-970,4,3.549957
-1030,8,3.553954
-1060,11,3.611921
-1020,7,3.615919
-990,4,3.618917
-1000,7,3.622915
-990,4,3.624914
-1000,7,3.629911
-1030,8,3.634908
-1000,5,3.637906
-990,6,3.641904
-1120,15,3.649899
-980,5,3.652897
-1040,7,3.656895
-1050,8,3.659894
-1000,5,3.662892
-1100,13,3.669888
-1030,10,3.677883
-1110,14,3.73685
-1030,10,3.741847
-1110,16,3.749842
-1130,14,3.756838
-990,4,3.758837
-1020,7,3.762835
-1020,5,3.765833
-1020,7,3.76983
-990,6,3.772829
-1010,6,3.776826
-1140,19,3.788819
-1060,11,3.795815
-1030,8,3.800813
-1060,13,3.807809
-1060,9,3.864776
-1130,16,3.872771
-1010,6,3.876769
-1030,8,3.880766
-1020,5,3.882765
-1050,8,3.887762
-1010,6,3.89176
-1070,14,3.901754
-1020,9,3.907751
-990,4,3.90975
-1030,10,3.915746
-1010,6,3.918745
-1000,5,3.921743
-1020,7,3.92574
-1050,8,3.930737
-1090,16,3.994701
-1020,7,3.998699
-1060,9,4.003695
-1000,5,4.007693
-1010,6,4.010692
-1040,7,4.014689
-1050,8,4.018687
-1060,9,4.022685
-990,6,4.026682
-1070,14,4.034678
-1040,7,4.038675
-980,5,4.041674
-990,4,4.044672
-1020,7,4.04867
-1060,11,4.055665
-1090,16,4.115631
-1030,8,4.121628
-1070,12,4.128624
-1100,13,4.13562
-1050,10,4.140617
-1010,8,4.146614
-1070,10,4.151611
-1100,11,4.157607
-1070,10,4.161605
-1000,7,4.166602
-1000,7,4.1716
-1020,9,4.177596
-1030,8,4.182593
-1030,10,4.18859
-1030,6,4.242559
-1010,6,4.245557
-1030,8,4.250554
-1000,7,4.255551
-1020,7,4.260548
-970,4,4.262547
