#{"t_start": 1590672061.2913308, "env_id": "zhedLevel1-v0"}
r,l,t
-1000,1,0.692602
-1000,1,0.692602
-1000,1,0.693601
1000,1,0.693601
-1000,1,0.694602
-1000,1,0.694602
1000,1,0.6956
-1000,1,0.6956
-1000,1,0.6966
-1000,1,0.6966
-1000,1,0.697599
1000,1,0.697599
1000,1,0.697599
-1000,1,0.698598
-1000,1,0.698598
-1000,1,0.699598
1000,1,0.699598
-1000,1,0.699598
-1000,1,0.700597
-1000,1,0.700597
1000,1,0.701597
-1000,1,0.701597
-1000,1,0.702596
1000,1,0.702596
-1000,1,0.702596
1000,1,0.703595
-1000,1,0.703595
-1000,1,0.704595
-1000,1,0.704595
-1000,1,0.705594
-1000,1,0.705594
-1000,1,0.705594
-1000,1,0.706594
-1000,1,0.706594
-1000,1,0.707593
1000,1,0.707593
-1000,1,0.707593
-1000,1,0.708593
-1000,1,0.708593
1000,1,0.709592
1000,1,0.709592
1000,1,0.709592
-1000,1,0.710592
-1000,1,0.710592
-1000,1,0.711591
-1000,1,0.711591
-1000,1,0.71259
-1000,1,0.71259
-1000,1,0.71259
-1000,1,0.71359
-1000,1,0.71359
1000,1,0.714589
-1000,1,0.714589
-1000,1,0.714589
-1000,1,0.715589
1000,1,0.715589
-1000,1,0.716588
-1000,1,0.716588
-1000,1,0.716588
1000,1,0.717588
-1000,1,0.717588
-1000,1,0.718588
1000,1,0.718588
-1000,1,0.718588
-1000,1,0.719587
-1000,1,0.719587
-1000,1,0.720586
-1000,1,0.720586
1000,1,0.720586
-1000,1,0.721585
-1000,1,0.721585
-1000,1,0.722585
-1000,1,0.722585
-1000,1,0.723584
1000,1,0.723584
1000,1,0.723584
1000,1,0.724584
-1000,1,0.724584
-1000,1,0.725583
-1000,1,0.725583
-1000,1,0.725583
1000,1,0.726582
-1000,1,0.726582
-1000,1,0.727582
-1000,1,0.727582
-1000,1,0.727582
-1000,1,0.728581
1000,1,0.728581
1000,1,0.729581
1000,1,0.729581
-1000,1,0.729581
-1000,1,0.73058
-1000,1,0.73058
-1000,1,0.731579
1000,1,0.731579
1000,1,0.732579
-1000,1,0.732579
-1000,1,0.732579
-1000,1,0.733578
-1000,1,0.733578
1000,1,0.734578
-1000,1,0.734578
1000,1,0.734578
-1000,1,0.735578
-1000,1,0.735578
-1000,1,0.736577
-1000,1,0.736577
-1000,1,0.736577
1000,1,0.737576
1000,1,0.737576
-1000,1,0.738575
-1000,1,0.738575
1000,1,0.738575
-1000,1,0.739575
-1000,1,0.739575
1000,1,0.739575
-1000,1,0.740574
-1000,1,0.740574
-1000,1,0.741573
-1000,1,0.741573
-1000,1,0.741573
1000,1,0.742573
