#{"t_start": 1590694548.7685378, "env_id": "zhedLevel6-v0"}
r,l,t
-1070,10,0.707593
-1070,14,0.714589
-1030,6,0.718586
-1050,6,0.721585
-1060,11,0.727581
-1030,8,0.731579
-1020,5,0.733579
-1070,10,0.739574
-1090,12,0.745571
-1030,6,0.74857
-1000,5,0.751568
-1010,8,0.756565
-1030,6,0.759563
-1100,11,0.76456
-990,4,0.767558
-1050,8,0.954451
-1020,5,0.957449
-1000,7,0.961446
-1010,8,0.965444
-1090,12,0.971442
-1010,8,0.975438
-1030,8,0.980436
-1020,5,0.983434
-1030,8,0.987432
-1050,12,0.993428
-1070,10,0.998425
-1020,5,1.001424
-1040,7,1.007421
-1000,5,1.010419
-1020,5,1.012417
-1050,8,1.017415
-1040,9,1.022412
-1060,11,1.082377
-1000,5,1.084376
-1160,21,1.09537
-1070,10,1.100367
-980,5,1.103365
-1050,10,1.109361
-1030,10,1.115358
-990,4,1.117357
-1050,8,1.121355
-1000,7,1.125352
-1080,11,1.13035
-1090,16,1.139344
-1040,7,1.143342
-1070,14,1.203307
-1050,8,1.207305
-1050,12,1.214301
-1090,10,1.220298
-990,4,1.222296
-1030,8,1.227294
-1070,12,1.23429
-1000,7,1.239287
-1070,14,1.247283
-1090,12,1.253279
-1060,9,1.258276
-1140,19,1.26927
-1030,4,1.271269
-1000,7,1.326237
-1220,25,1.339229
-1010,6,1.342227
-1030,4,1.345226
-1020,9,1.350223
-1000,7,1.354221
-990,4,1.357219
-1100,13,1.364215
-1040,9,1.370211
-1040,7,1.37321
-1020,5,1.376208
-1020,7,1.380206
-1080,13,1.3892
-1010,6,1.392199
-1050,8,1.396197
-1140,15,1.455163
-1030,6,1.458161
-1000,5,1.461159
-1060,9,1.465157
-1000,5,1.468155
-1030,6,1.472153
-1030,8,1.47715
-1090,12,1.483147
-1070,10,1.488144
-1030,6,1.491142
-1000,5,1.49414
-980,5,1.497138
-1070,12,1.504134
-990,4,1.506133
-1030,8,1.511131
-1050,10,1.516128
-1060,11,1.573095
-1030,6,1.577093
-970,4,1.579091
-1000,5,1.582089
-1120,15,1.590085
-1040,9,1.595082
-1020,7,1.59908
-1030,4,1.601079
-1010,8,1.607075
-1010,6,1.611073
-1050,10,1.61707
-1060,9,1.622067
-1010,4,1.624065
-1020,5,1.627064
-990,4,1.630062
-1050,10,1.636059
-1090,16,1.697024
-1030,8,1.702021
-1060,13,1.712015
-1150,16,1.720011
-1050,10,1.726007
-1030,10,1.733004
-1040,7,1.738
-1070,10,1.743997
-1040,7,1.748994
-1080,9,1.753991
-1060,13,1.759988
-1090,14,1.769982
-1020,9,1.826949
-1040,9,1.831946
-1010,8,1.836943
-1130,14,1.844938
-1040,9,1.849936
-1030,6,1.853933
-1020,5,1.857931
-1110,16,1.865926
-1040,5,1.867925
-1030,8,1.873921
-1030,8,1.878919
-1050,8,1.883916
-1030,6,1.887913
-1030,8,1.89291
-1010,6,1.896908
-1030,6,1.899907
-1140,17,1.96387
-1080,13,1.970866
-1010,6,1.973865
-1150,18,1.984858
-1000,5,1.987856
-1000,5,1.990855
-1060,11,1.99785
-1090,12,2.004847
-1010,8,2.009844
-1000,7,2.014841
-1060,9,2.020837
-1040,5,2.022836
-1060,9,2.027833
-990,4,2.029832
-1020,7,2.084801
-1030,6,2.088798
-1030,6,2.091796
-1010,4,2.093796
-1090,14,2.101791
-1010,4,2.104789
-1030,8,2.108787
-1080,11,2.114783
-1120,17,2.125777
-1060,11,2.131773
-1030,6,2.134772
-1000,5,2.13777
-1000,5,2.140768
-1040,5,2.142767
-1000,7,2.147764
-1050,8,2.151762
-1050,10,2.209728
-1020,7,2.214725
-1050,8,2.219723
-1000,5,2.222721
-1000,7,2.227718
-1040,7,2.230716
-1000,5,2.233715
-1050,8,2.237713
