#{"t_start": 1590690218.4706721, "env_id": "zhedLevel6-v0"}
r,l,t
-1070,8,0.716588
-1010,6,0.719586
-1120,19,0.729581
-1000,5,0.732579
-1040,9,0.736576
-1040,7,0.740574
-1010,6,0.743572
-980,5,0.746571
-1050,8,0.750568
-1020,5,0.753567
-1040,5,0.756565
-1040,7,0.760563
-1070,10,0.765559
-1030,8,0.769557
-1050,10,0.775553
-1010,8,0.779551
-1040,9,0.968443
-1030,6,0.97244
-1090,14,0.980436
-1050,10,0.985433
-1030,8,0.989431
-1020,7,0.993429
-1050,8,0.998425
-1010,4,1.000424
-970,4,1.002424
-1010,8,1.00742
-1040,11,1.013417
-1070,12,1.023411
-1110,14,1.030407
-1000,5,1.033406
-1030,8,1.037403
-1120,13,1.09537
-1050,10,1.101366
-1080,11,1.107363
-1020,7,1.11136
-1030,4,1.11336
-1090,12,1.120355
-1040,7,1.124353
-1040,7,1.128351
-1120,15,1.137346
-1050,8,1.141343
-1020,7,1.144341
-1020,9,1.150338
-1010,4,1.152337
-1030,8,1.157334
-1010,6,1.160332
-1040,9,1.218299
-990,4,1.220298
-1070,10,1.226295
-1140,17,1.236289
-1150,22,1.249282
-1060,13,1.258276
-1080,13,1.265272
-1060,9,1.271268
-1070,10,1.276266
-990,4,1.279264
-1010,8,1.284261
-1050,8,1.289258
-1060,9,1.346226
-1010,6,1.350223
-1010,6,1.354221
-1040,7,1.358218
-1060,11,1.365215
-1050,8,1.370212
-990,4,1.372211
-1040,7,1.376208
-1030,8,1.381206
-1040,9,1.386203
-1020,7,1.390201
-1070,10,1.396197
-1040,11,1.402193
-1180,25,1.419184
-1010,6,1.475151
-1040,7,1.479149
-1100,11,1.484146
-970,4,1.487144
-1040,5,1.489144
-1000,5,1.492142
-1160,19,1.503136
-1070,12,1.510131
-1010,8,1.515128
-1050,8,1.520125
-1020,7,1.523124
-990,4,1.526122
-1000,5,1.529121
-980,5,1.532119
-990,4,1.534117
-1020,9,1.540114
-1030,8,1.546111
-1060,9,1.602078
-1020,7,1.606076
-1040,7,1.610074
-1050,8,1.614071
-1010,8,1.619069
-1060,9,1.624066
-1000,7,1.629063
-1010,6,1.632061
-1060,9,1.637058
-1000,5,1.640057
-1030,6,1.644054
-1010,4,1.646053
-1050,10,1.653049
-1050,10,1.660045
-1000,5,1.663043
-1000,7,1.66804
-1030,6,1.671038
-1080,13,1.731004
-1040,9,1.737
-1050,10,1.743997
-1010,6,1.746995
-1100,13,1.753991
-1060,7,1.757989
-1000,5,1.760987
-1030,8,1.765984
-1050,6,1.768982
-1010,8,1.773979
-1010,4,1.775978
-1050,8,1.780975
-1010,6,1.784973
-1180,21,1.794967
-1030,6,1.798965
-1110,16,1.860929
-1020,7,1.865927
-1040,9,1.871923
-1020,9,1.877919
-1080,11,1.884915
-1030,6,1.888913
-1030,6,1.89291
-1120,15,1.900906
-1070,10,1.906903
-1020,7,1.9109
-1040,7,1.914898
-1010,8,1.919895
-1010,6,1.923893
-1010,4,1.925892
-1040,7,1.929889
-1050,12,1.988855
-1030,6,1.991853
-970,4,1.994852
-1000,5,1.99785
-1060,9,2.002847
-1030,6,2.005846
-1060,9,2.011842
-1030,6,2.01584
-1000,7,2.019837
-1010,8,2.025834
-1020,9,2.031831
-1020,5,2.033829
-1110,14,2.044823
-1080,11,2.04982
-1030,6,2.053818
-970,4,2.055817
-1140,19,2.12078
-1040,11,2.126776
-990,4,2.129775
-1040,9,2.135771
-1020,7,2.139769
-1030,8,2.145765
-1010,6,2.148764
-1030,6,2.152762
-1020,5,2.15576
-1020,5,2.158758
-1060,9,2.163755
-1050,10,2.169752
-980,5,2.17275
-1050,10,2.179746
-1090,12,2.185743
-1000,5,2.18874
-1090,10,2.193738
-1050,8,2.249706
-1030,6,2.252704
-1080,11,2.258701
-1050,10,2.264697
-1020,7,2.268695
-1070,8,2.274691
-1020,5,2.27669
-1060,9,2.282686
-1110,12,2.287683
-1130,16,2.296679
-1050,8,2.302675
-980,5,2.305673
-980,5,2.308672
-1010,6,2.31267
-1070,12,2.319665
-1030,8,2.377631
-1050,6,2.38063
-1060,9,2.385627
-1020,5,2.389625
-1110,14,2.396621
-980,5,2.399619
-1020,7,2.403618
-1070,10,2.409613
-1030,6,2.413611
-1030,8,2.418608
-1010,6,2.422606
-1050,10,2.428602
-1010,8,2.4326
-1000,7,2.437597
-1040,9,2.442594
-1030,10,2.448591
-1040,9,2.504559
-990,4,2.507557
-1010,4,2.509556
-1050,8,2.513554
-1020,7,2.517552
-1030,6,2.521549
-1030,6,2.524548
-1000,5,2.527546
-1020,7,2.531544
-1050,8,2.535541
-990,4,2.538539
-1040,5,2.541538
-1050,8,2.545535
-1000,5,2.548534
-1030,10,2.555529
-1030,6,2.558528
-970,4,2.561526
-1020,5,2.564525
-1030,6,2.567523
-1060,11,2.573519
-1050,8,2.630486
-1010,6,2.634484
-1030,6,2.637482
-1050,10,2.644479
-1060,9,2.649476
-1010,8,2.654473
-1070,10,2.660469
-970,4,2.663467
-1030,6,2.667465
-1090,12,2.674461
-1010,6,2.677459
-1010,8,2.684455
-980,5,2.687454
-1010,6,2.690452
-990,4,2.69345
-1120,15,2.701446
-990,4,2.703444
-990,4,2.758413
-1030,6,2.761411
-1000,5,2.765409
-1000,5,2.768407
-1050,8,2.772405
-1030,6,2.776402
-1050,6,2.779401
-1080,11,2.786397
-1030,8,2.791394
-1090,14,2.799389
-1020,5,2.802387
-1020,5,2.804386
-1060,7,2.809383
-1020,7,2.813381
-1030,4,2.816379
-1040,7,2.820377
-1010,4,2.822376
-1010,6,2.826374
-1060,7,2.830371
-1010,6,2.886339
