#{"t_start": 1590688153.5110798, "env_id": "zhedLevel5-v0"}
r,l,t
-1070,12,3.450014
-1010,8,3.455011
-970,4,3.45801
-1090,14,3.468004
-1040,9,3.473001
-980,5,3.475999
-1010,6,3.534966
-1030,8,3.538963
-1010,6,3.541962
-980,5,3.54496
-1020,7,3.548957
-1030,8,3.553954
-1030,8,3.558952
-1000,7,3.56295
-1020,7,3.567946
-1100,15,3.574942
-1000,7,3.57994
-1020,5,3.581939
-1000,5,3.584937
-1020,7,3.589934
-1020,7,3.592932
-1000,7,3.59693
-1030,8,3.601927
-1050,10,3.662892
-1060,11,3.668889
-1040,9,3.673885
-1030,8,3.677883
-1100,15,3.685879
-1030,6,3.688877
-1030,10,3.695872
-1010,8,3.699871
-1010,8,3.705868
-1010,6,3.709865
-1050,10,3.714862
-980,5,3.71786
-990,4,3.720859
-1080,11,3.725856
-1010,4,3.727854
-1000,5,3.730853
-1050,10,3.792817
-1000,5,3.795815
-1020,9,3.802811
-990,4,3.80481
-1100,15,3.812805
-1000,5,3.815804
-1000,5,3.819802
-1070,14,3.829796
-990,6,3.833793
-980,5,3.837791
-1020,5,3.840789
-1000,5,3.843788
-1070,12,3.850784
-1000,5,3.852782
-1030,10,3.859778
-1120,17,3.868773
-1060,11,3.928738
-1060,9,3.933736
-1070,12,3.941731
-980,5,3.94473
-1040,9,3.950726
-990,4,3.952725
-1020,5,3.955724
-980,5,3.958722
-1150,20,3.969716
-1000,5,3.973713
-1020,5,3.975712
-980,5,3.97871
-990,6,3.982708
-1000,7,3.987705
-1030,10,3.992702
-1040,9,3.998699
-1090,16,4.064661
-1000,5,4.067659
-1020,7,4.072656
-1030,10,4.078653
-1020,7,4.08265
-980,5,4.085648
-1060,9,4.091645
-1010,8,4.096642
-990,4,4.098641
-1020,7,4.103638
-1040,7,4.106637
-1110,14,4.114632
-1100,15,4.122627
-1040,7,4.126625
-1020,9,4.132622
-1020,9,4.193586
-1060,11,4.200583
-1050,10,4.206579
-1010,4,4.208578
-1040,9,4.214575
-1190,22,4.225568
-1050,8,4.229566
-1060,11,4.236562
-1030,8,4.241559
-1060,11,4.247555
-1010,8,4.251553
-1050,10,4.25655
-990,4,4.259548
-1030,8,4.318515
-1040,9,4.324511
-1050,10,4.330508
-1060,11,4.337504
-1000,7,4.341501
-1080,11,4.347498
-990,4,4.349497
-1010,6,4.353494
-980,5,4.356493
-1000,5,4.359491
-1050,6,4.362489
-1010,4,4.364489
-1060,9,4.368486
-1050,12,4.376481
-1090,14,4.384477
-1010,8,4.388474
-1020,9,4.44844
-1040,9,4.454436
-1040,11,4.460433
-1020,7,4.464431
-1050,10,4.470428
-1070,10,4.475425
-980,5,4.478423
-1020,7,4.482421
-1030,6,4.485418
-1070,12,4.493414
-1140,19,4.505407
-1030,10,4.512403
-1060,7,4.516401
-970,4,4.5184
-990,6,4.576366
-1030,8,4.581363
-1040,9,4.58736
-1070,12,4.595355
-1030,8,4.601352
-1060,9,4.60535
-1000,5,4.608348
-1010,4,4.610346
-980,5,4.614344
-970,4,4.616343
-1040,9,4.62134
-1040,11,4.628336
-1050,10,4.634333
-1030,4,4.636332
-1040,7,4.63933
-1060,9,4.644327
-1050,12,4.653322
-1130,18,4.720283
-1020,7,4.724281
-1060,11,4.731277
-1090,14,4.738273
-1040,7,4.742271
-1000,7,4.747268
-1060,13,4.757262
-1090,14,4.765257
-1010,6,4.769255
-1030,8,4.774252
-1000,7,4.77825
-1030,8,4.783247
-1010,4,4.786246
-1050,12,4.849209
-1050,6,4.852207
-1010,6,4.855206
-970,4,4.858204
-1000,5,4.861202
-1080,13,4.868198
-1040,7,4.872196
-1080,13,4.878192
-970,4,4.881191
-1040,9,4.885189
-1010,6,4.889186
-1070,10,4.894183
-980,5,4.898181
-1170,20,4.908175
-1070,12,4.915171
-1000,7,4.974137
-1030,8,4.978135
-1000,7,4.982132
-1050,6,4.985131
-1020,5,4.988129
-1090,16,4.999123
-1000,5,5.002121
-1050,10,5.007118
-1030,8,5.013114
-1000,7,5.017112
-1070,14,5.027107
-1050,8,5.031104
-1070,12,5.0381
-1060,11,5.043097
-1000,5,5.100065
-1010,6,5.104062
-1030,8,5.110059
-1030,8,5.114057
-990,4,5.117055
-1050,8,5.121053
-1000,5,5.124051
-1060,9,5.130048
-1080,11,5.136044
-1010,8,5.142041
-1070,12,5.149037
-1040,9,5.154034
-1040,9,5.15903
-1060,13,5.169025
-1100,13,5.176021
-1010,8,5.235986
-1020,5,5.237985
-1040,9,5.243981
-1030,8,5.248979
-1000,7,5.252976
-1040,7,5.256974
-990,6,5.261971
-1010,6,5.26497
-1030,6,5.267968
-1020,9,5.27398
-1030,8,5.279961
-1020,7,5.282959
-1040,7,5.286957
-1000,5,5.289955
-1050,12,5.29895
-1210,26,5.368911
-990,4,5.370909
-1010,6,5.374906
-970,4,5.377904
-1050,10,5.382902
-1030,8,5.386899
-1030,8,5.390898
-1000,5,5.393896
-1040,7,5.397894
-1030,6,5.400892
-990,6,5.404889
-1030,6,5.407887
-980,5,5.410886
-1040,9,5.415883
-1070,10,5.42188
-1030,8,5.426877
-1030,6,5.429876
-990,6,5.433872
-980,5,5.436871
-1070,12,5.497836
-1010,6,5.501833
-1040,11,5.509829
-990,4,5.511828
-1040,7,5.515825
-1060,11,5.521822
-1090,14,5.529817
-1010,6,5.533815
-1000,7,5.538812
-1010,4,5.540811
-1030,8,5.545808
-1090,14,5.554803
-1020,7,5.558801
-1010,6,5.562798
-1030,8,5.566796
-1000,5,5.569794
-1020,5,5.627762
-990,4,5.629761
-1010,4,5.631759
-1030,8,5.637756
-1060,13,5.644751
-1100,11,5.650748
-980,5,5.654746
-1030,4,5.656745
-1030,10,5.66374
-980,5,5.666739
-1040,9,5.671736
-1040,5,5.673735
-1000,5,5.676733
-1150,18,5.687726
-1030,6,5.690725
-1070,12,5.697721
-1030,6,5.701718
-1020,9,5.760684
-1050,6,5.763683
-1090,10,5.76868
-1060,11,5.774676
-1010,6,5.777675
-990,4,5.780673
-980,5,5.783671
-1120,15,5.790668
-1030,10,5.797663
-1130,16,5.806658
-1040,7,5.810656
-1040,11,5.819651
-1070,12,5.825647
-1070,12,5.887612
-1010,8,5.891609
-1010,6,5.895607
-1190,22,5.906601
