#{"t_start": 1590686062.1176999, "env_id": "zhedLevel5-v0"}
r,l,t
-1080,13,0.706593
-1070,12,0.71259
-1050,10,0.718586
-1110,12,0.724583
-1030,8,0.72858
-1090,14,0.735577
-990,4,0.737576
-1010,6,0.741573
-1010,6,0.744572
-990,6,0.74757
-1060,11,0.753567
-990,4,0.756565
-990,6,0.759563
-990,4,0.761561
-1020,7,0.765559
-1010,6,0.953451
-1030,6,0.95645
-1070,12,0.963446
-1040,7,0.966444
-1140,19,0.977437
-980,5,0.980436
-970,4,0.982435
-1020,7,0.985433
-990,6,0.98943
-970,4,0.991429
-1010,4,0.993429
-1000,5,0.996427
-1090,14,1.005422
-1000,5,1.009419
-1000,7,1.013417
-1040,7,1.017414
-1000,5,1.020413
-1020,9,1.02541
-1040,9,1.084376
-1010,8,1.089373
-990,4,1.091372
-1010,6,1.09437
-1050,8,1.099367
-1090,12,1.105364
-970,4,1.107363
-1010,8,1.11236
-1000,5,1.115358
-990,6,1.118356
-1000,5,1.121355
-1070,10,1.127351
-1030,8,1.131349
-970,4,1.133348
-1100,15,1.142343
-1120,17,1.153336
-1030,8,1.211303
-1020,5,1.214301
-1150,20,1.226294
-1040,7,1.230292
-1020,7,1.23429
-1090,16,1.244284
-1050,12,1.252279
-1020,7,1.256277
-1090,14,1.263273
-1010,8,1.26827
-1060,9,1.272268
-1000,7,1.276265
-980,5,1.279263
-1030,8,1.33823
-1020,5,1.341228
-1060,11,1.348224
-1010,6,1.351223
-980,5,1.354221
-1010,4,1.357219
-1050,10,1.363215
-1000,7,1.367213
-1000,7,1.37221
-1020,7,1.376208
-1020,5,1.379206
-1090,12,1.385203
-1010,6,1.3892
-970,4,1.391199
-1010,4,1.393198
-1090,10,1.398195
-1040,5,1.400194
-980,5,1.404192
-1020,9,1.410188
-1030,6,1.466156
-1100,13,1.473152
-1030,6,1.47615
-1040,7,1.480148
-990,4,1.482147
-1060,11,1.489143
-1040,9,1.49414
-1050,8,1.499137
-1060,11,1.505134
-1000,5,1.508133
-1030,6,1.51113
-1010,8,1.516127
-1060,9,1.520125
-1120,17,1.530119
-1000,5,1.534117
-1030,8,1.591084
-1010,6,1.594083
-1080,15,1.604077
-1040,9,1.609074
-1000,5,1.612072
-1040,9,1.618069
-1040,11,1.624065
-990,4,1.627064
-1050,10,1.632061
-1010,8,1.637058
-1040,7,1.641056
-980,5,1.644054
-1120,15,1.651049
-1020,9,1.658046
-1020,7,1.662043
-1050,6,1.718011
-1020,5,1.72101
-1040,7,1.725007
-1080,13,1.732003
-1080,13,1.739999
-1070,10,1.744996
-1000,5,1.746995
-1050,10,1.752991
-990,6,1.75599
-1020,9,1.761986
-1040,7,1.765984
-1030,8,1.770981
-990,6,1.773979
-1020,7,1.778976
-1000,5,1.780975
-1030,8,1.785972
-1040,9,1.844938
-1130,18,1.855932
-990,4,1.857931
-1050,8,1.862928
-1100,11,1.867925
-990,6,1.871923
-1040,7,1.874921
-1040,9,1.880918
-1020,7,1.883915
-1120,15,1.891911
-1060,11,1.898907
-1060,11,1.905904
-1010,6,1.908901
-990,6,1.912899
-1090,16,1.974864
-1000,5,1.977862
-1060,9,1.982859
-1000,7,1.987856
-1070,12,1.993852
-1010,6,1.996851
-1010,8,2.002847
-1040,7,2.005845
-1010,6,2.009843
-1030,8,2.013841
-1080,13,2.021837
-1030,6,2.024835
-1020,7,2.029832
-1070,10,2.034829
-1000,5,2.037827
-970,4,2.039826
-1070,12,2.100791
-1030,6,2.104789
-1000,5,2.107787
-1000,5,2.109786
-1020,5,2.112784
-1030,6,2.115782
-1010,6,2.11878
-1020,7,2.123778
-1030,8,2.128775
-990,6,2.131773
-1040,7,2.135771
-1040,7,2.140768
-1000,5,2.143766
-1050,10,2.149763
-1030,8,2.153761
-1130,16,2.162755
-1060,9,2.166753
-980,5,2.169751
-1090,14,2.232715
-1060,13,2.242709
-1010,6,2.245708
-1080,11,2.251704
-1000,5,2.254702
-1110,16,2.262698
-1010,8,2.267695
-1000,5,2.270693
-1080,9,2.27569
-1000,5,2.278689
-1140,17,2.287683
-1050,10,2.29368
-1000,5,2.296678
-1100,17,2.36264
-970,4,2.364639
-1010,6,2.368637
-1040,7,2.372634
-1010,4,2.374634
-1050,10,2.38063
-1030,8,2.384628
-1030,8,2.388626
-1040,9,2.394622
-1100,13,2.402617
-1030,8,2.406615
-1060,11,2.413611
-1000,5,2.416609
-1020,7,2.420607
-1010,4,2.422606
-1030,8,2.426603
-1020,9,2.486569
-1100,13,2.493565
-1140,17,2.50256
-1060,13,2.510555
-1070,12,2.51955
-1010,4,2.521549
-1030,8,2.526546
-990,6,2.529544
-1030,10,2.535541
-1090,16,2.545535
-970,4,2.548533
-1100,15,2.556529
-1090,10,2.615495
-1010,8,2.620492
-1000,5,2.623491
-1060,13,2.632485
-980,5,2.636483
-1010,8,2.640481
-1180,25,2.65747
-1080,11,2.663467
-1100,13,2.670463
-1030,8,2.674461
-1050,8,2.679458
-1030,8,2.683456
-1170,22,2.749418
-1040,7,2.753415
-1010,6,2.756413
-1040,7,2.760411
-1040,9,2.766408
-1010,4,2.768406
-1020,9,2.775403
-990,6,2.779401
-1010,6,2.782399
-1060,11,2.788395
-1090,14,2.795392
-1010,6,2.799389
-1080,13,2.809383
-1010,6,2.812382
-1010,8,2.817379
-1000,7,2.874346
-1000,7,2.879343
-1040,7,2.88434
-1010,8,2.890337
-1010,4,2.892335
-1050,8,2.896333
-1120,17,2.905328
-1050,8,2.910332
-1040,11,2.917321
-1050,10,2.924317
-1050,10,2.929314
-1040,7,2.933312
-1030,6,2.93631
-1040,9,2.941307
-1020,7,2.946304
-1030,8,3.003272
-1060,11,3.009268
-1030,8,3.013266
-1030,6,3.017263
-1020,7,3.020262
-1000,5,3.02326
-1080,13,3.031256
-1010,8,3.036253
