#{"t_start": 1590692262.788145, "env_id": "zhedLevel6-v0"}
r,l,t
-1040,7,3.324087
-1110,14,3.333082
-1100,11,3.340078
-1040,7,3.344075
-1050,8,3.350072
-1010,8,3.356068
-1030,10,3.363064
-1040,7,3.368062
-1030,8,3.373058
-1040,9,3.378056
-980,5,3.382053
-1000,5,3.437021
-1070,12,3.445017
-1060,9,3.450015
-1000,5,3.453012
-1100,13,3.460009
-1050,8,3.465006
-1010,6,3.468004
-1080,11,3.474001
-1030,6,3.478998
-1030,8,3.482995
-1100,13,3.489991
-1050,6,3.49299
-1050,8,3.496988
-1110,16,3.505982
-1040,7,3.56195
-1020,5,3.564948
-1040,7,3.568946
-1060,7,3.571944
-1040,7,3.576941
-1060,13,3.584936
-1050,10,3.589934
-1040,7,3.593931
-1020,9,3.599928
-1010,4,3.601927
-1070,12,3.609922
-1070,10,3.614919
-1000,5,3.617917
-990,4,3.620916
-1020,5,3.623914
-1050,8,3.628911
-1020,9,3.635907
-1030,6,3.690876
-990,4,3.693875
-980,5,3.696873
-1020,5,3.698871
-1110,16,3.710864
-1030,6,3.714862
-1100,13,3.720858
-990,6,3.725856
-1040,9,3.730852
-1010,6,3.73485
-1050,8,3.738848
-1090,10,3.743845
-1030,10,3.748842
-1090,14,3.757838
-1040,7,3.761835
-1090,14,3.8228
-1030,6,3.825798
-1030,6,3.829796
-1130,18,3.843788
-1000,5,3.845787
-1000,5,3.848785
-1010,6,3.852782
-1010,6,3.855782
-1030,10,3.862777
-1030,8,3.867774
-1060,11,3.87377
-1030,8,3.878768
-1150,18,3.887763
-1030,6,3.890761
-1000,7,3.895758
-990,6,3.952725
-1040,7,3.956723
-1040,11,3.964718
-1110,14,3.973713
-1110,14,3.982708
-1020,5,3.985706
-1000,5,3.988704
-1050,12,3.9967
-1120,15,4.003695
-980,5,4.006694
-1000,5,4.009692
-990,6,4.014689
-1030,8,4.020686
-1000,5,4.023684
-1020,7,4.028681
-1210,22,4.091645
-1100,13,4.09964
-1050,10,4.105638
-990,4,4.108635
-1020,7,4.112633
-1020,7,4.11663
-1080,13,4.123627
-1030,8,4.128624
-980,5,4.131622
-1030,8,4.136619
-1090,10,4.142616
-1070,10,4.148612
-1080,13,4.155608
-1040,5,4.210577
-1030,8,4.215574
-1090,10,4.220571
-1050,6,4.224569
-1050,10,4.231565
-1030,6,4.235562
-1070,12,4.241559
-990,4,4.244557
-1040,7,4.247555
-980,5,4.251553
-1020,7,4.255551
-1060,9,4.260548
-1070,10,4.265545
-1010,6,4.269543
-1080,9,4.273541
-1040,7,4.277538
-1020,9,4.283535
-1000,7,4.339502
-1010,8,4.3445
-1020,5,4.347498
-1100,13,4.353494
-1070,8,4.358492
-1040,7,4.36149
-1020,5,4.364488
-1020,7,4.368486
-1010,8,4.373483
-1040,9,4.380479
-1010,4,4.382478
-1030,6,4.385476
-970,4,4.388474
-1110,14,4.39547
